"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state56","female","other","care","formal","health","active",479820.342857143,18140.07
"state08","female","other","care","formal","health","active",5768328.51428571,248469.85
"state35","female","other","care","formal","health","active",883731.428571429,101850.81
"state04","female","other","care","formal","health","active",16826462.2285714,340757.6
"state49","female","other","care","formal","health","active",3917877.6,129353.37
"state32","female","other","care","formal","health","active",4726171.11428571,178045.25
"state53","female","other","care","formal","health","active",10562254.7142857,306321.57
"state41","female","other","care","formal","health","active",3495402,163970.7
"state06","female","other","care","formal","health","active",46612939.5428571,2413965.03
"state02","female","other","care","formal","health","active",1383688.8,24734.15
"state15","female","other","care","formal","health","active",3149129.57142857,100043.03
"national","female","other","care","formal","health","active",496183648.714286,16821935.53
"state23","female","with_children","care","formal","daily_living","active",3014421.42857143,132790.56
"state33","female","with_children","care","formal","daily_living","active",1990460.57142857,111906.66
"state50","female","with_children","care","formal","daily_living","active",1809756.25714286,64525.58
"state25","female","with_children","care","formal","daily_living","active",6982564.62857143,704279.22
"state44","female","with_children","care","formal","daily_living","active",2243420.14285714,103547.24
"state09","female","with_children","care","formal","daily_living","active",4690178.65714286,366030.09
"state36","female","with_children","care","formal","daily_living","active",43438584.6,1864359.88
"state34","female","with_children","care","formal","daily_living","active",23345590.9714286,981160.63
"state42","female","with_children","care","formal","daily_living","active",24987363.0857143,1180059.47
"state39","female","with_children","care","formal","daily_living","active",18278634.8571429,1215113.07
"state18","female","with_children","care","formal","daily_living","active",15031181.0571429,818598.2
"state17","female","with_children","care","formal","daily_living","active",23966028.3428571,1347207.91
"state26","female","with_children","care","formal","daily_living","active",19985953.2,1006186.02
"state55","female","with_children","care","formal","daily_living","active",10677479.4857143,653678.8
"state27","female","with_children","care","formal","daily_living","active",10062704.0571429,613234.52
"state19","female","with_children","care","formal","daily_living","active",7898050.28571429,332642.26
"state29","female","with_children","care","formal","daily_living","active",24155708.6571429,652240.1
"state38","female","with_children","care","formal","daily_living","active",821610.342857143,93680.21
"state46","female","with_children","care","formal","daily_living","active",1543062.68571429,89678.33
"state31","female","with_children","care","formal","daily_living","active",3347197.54285714,227435.22
"state20","female","with_children","care","formal","daily_living","active",6035697.6,313679.37
"state10","female","with_children","care","formal","daily_living","active",1691535.85714286,106086.84
"state24","female","with_children","care","formal","daily_living","active",17518683.6857143,598436.13
"state11","female","with_children","care","formal","daily_living","active",984420.428571429,47664.42
"state51","female","with_children","care","formal","daily_living","active",24058752.6857143,924309.22
"state54","female","with_children","care","formal","daily_living","active",3959470.45714286,172352.07
"state37","female","with_children","care","formal","daily_living","active",26708188.7142857,1125154.11
"state45","female","with_children","care","formal","daily_living","active",8780751.94285714,635859.95
