"date","geo_level","category_id","subcategory_id","formal_care_labor_force","formal_care_labor_force_proportion","formal_care_time","formal_care_time_proportion","formal_value","formal_value_proportion"
1996-01-01,"state22","overall","overall",476132.88,0.152175221415717,NA,NA,NA,NA
1996-01-01,"state23","overall","overall",141547.07,0.151916597682081,NA,NA,NA,NA
1996-01-01,"state24","overall","overall",614848.8,0.162478568266029,NA,NA,NA,NA
1996-01-01,"state25","overall","overall",704662.85,0.152845279084447,NA,NA,NA,NA
1996-01-01,"state26","overall","overall",1016554.53,0.146537052963741,NA,NA,NA,NA
1996-01-01,"state27","overall","overall",591704.09,0.178799106414355,NA,NA,NA,NA
1996-01-01,"state28","overall","overall",283764.91,0.148188504171766,NA,NA,NA,NA
1996-01-01,"state29","overall","overall",652065.88,0.166615245589835,NA,NA,NA,NA
1996-01-01,"state30","overall","overall",120629.8,0.186166869653143,NA,NA,NA,NA
1996-01-01,"state31","overall","overall",219549.47,0.186938752399003,NA,NA,NA,NA
1996-01-01,"state32","overall","overall",201942.94,0.174222620950076,NA,NA,NA,NA
1996-01-01,"state33","overall","overall",134950.03,0.158858970711109,NA,NA,NA,NA
1996-01-01,"state34","overall","overall",872176.03,0.147040677330121,NA,NA,NA,NA
1996-01-01,"state35","overall","overall",194298.41,0.161815537888286,NA,NA,NA,NA
1996-01-01,"state36","overall","overall",2135397.99,0.158293295441428,NA,NA,NA,NA
1996-01-01,"state37","overall","overall",775790.78,0.143853786534591,NA,NA,NA,NA
1996-01-01,"state38","overall","overall",91639.39,0.199725373603793,NA,NA,NA,NA
1996-01-01,"state39","overall","overall",1211972.77,0.147673930842703,NA,NA,NA,NA
1996-01-01,"state40","overall","overall",330848.71,0.139934922077071,NA,NA,NA,NA
1996-01-01,"state41","overall","overall",374485.97,0.158050252966691,NA,NA,NA,NA
1996-01-01,"state42","overall","overall",1437710.69,0.159934147846221,NA,NA,NA,NA
1996-01-01,"state44","overall","overall",118503.96,0.162667667183521,NA,NA,NA,NA
