"age","care_focus","need_interval","provision_interval"
63,"health",76.2020924367063,93.4042082763461
64,"daily_living",181.341784349204,224.304037632569
64,"developmental",20.6694587183915,327.042580675186
64,"health",78.0718818762177,90.9728877739531
65,"daily_living",187.035693279938,230.872882264612
65,"developmental",17.51812249156,328.14605322498
65,"health",79.6036698137015,88.5280191769759
66,"daily_living",192.91792583661,238.397663161322
66,"developmental",15.3571430158984,329.135688632614
66,"health",81.0801372339644,86.0688285874414
67,"daily_living",197.22875426159,244.337004317973
67,"developmental",14.4151795700556,327.723212297658
67,"health",80.978636151847,83.5007380859244
68,"daily_living",189.479702502904,248.674831588302
68,"developmental",16.0576723433898,321.762415193274
68,"health",74.5930062048761,80.9206780505996
69,"daily_living",175.125799511512,252.598911940625
69,"developmental",19.4552081231682,313.025241425124
69,"health",64.6544449749561,78.3852208883352
70,"daily_living",176.322575034178,255.373631042092
70,"developmental",21.5441660849031,305.100646091532
70,"health",60.7963413934951,75.7392517227458
71,"daily_living",199.490483907134,257.573546319162
71,"developmental",22.0435434687019,298.318185564739
71,"health",64.9482126973664,72.926514898068
72,"daily_living",234.482270985705,258
72,"developmental",22.1092278021918,290.919286903341
72,"health",73.1236105332551,70.0063246528947
73,"daily_living",278.601901045306,258
73,"developmental",20.8329336921648,283.360711235192
73,"health",86.0819754472861,66.9969209523749
74,"daily_living",351.424647483957,258
74,"developmental",16.3467142299166,276.099219688149
74,"health",111.797328135095,63.9165437616576
75,"daily_living",426.571521730992,258
75,"developmental",11.3593415793359,269.591573390066
75,"health",139.161922820945,60.7834330458917
76,"daily_living",481.12029843237,254.797212210634
76,"developmental",7.41667479298342,264.088379216752
76,"health",160.029175520225,57.6528393709115
77,"daily_living",533.523212976149,249.507760499413
77,"developmental",3.11880160962611,258.928344479991
77,"health",181.253389903594,54.4910696783065
78,"daily_living",574.214528297857,242.255593252157
78,"developmental",0.00385827425510454,253.200380961598
78,"health",197.472688293017,51.1829484968579
