"age","care_focus","need_interval","provision_interval"
67,"health",90.3692706968737,100.747194729066
68,"daily_living",171.154111161204,213.57179006266
68,"developmental",0,292.717234856477
68,"health",82.3431425549754,97.4149525775528
69,"daily_living",156.63483087404,216.893605392141
69,"developmental",0,287.603725154918
69,"health",71.9755880324487,93.7880612631938
70,"daily_living",158.246754665375,219.464125790598
70,"developmental",0,282.501597357009
70,"health",68.4390462689017,90.7651277192858
71,"daily_living",182.489154545831,221.922224601976
71,"developmental",0,277.740479991047
71,"health",75.2208493000525,88.8504947388757
72,"daily_living",218.988820241262,224.678298867948
72,"developmental",0,273.324911566466
72,"health",87.6723969359035,87.6757335738242
73,"daily_living",265.030888220982,225
73,"developmental",0,268.940308026217
73,"health",102.762229977489,86.8302938456482
74,"daily_living",341.082976909844,225
74,"developmental",0,264.272085313253
74,"health",126.731467633306,85.9036251758648
75,"daily_living",419.578414597992,225
75,"developmental",0,259.005659370529
75,"health",151.461952113168,84.4851771859909
76,"daily_living",476.771308115432,224.006814449503
76,"developmental",0,253.49764103617
76,"health",168.902937190298,82.8206661427024
77,"daily_living",531.859591392614,220.259645649877
77,"developmental",0,247.846031410171
77,"health",185.484682579478,81.224929008012
78,"daily_living",574.492706347461,214.809426235593
78,"developmental",0,241.348331828289
78,"health",198.358322496049,79.3910964464424
79,"daily_living",594.227219210214,206.964265196528
79,"developmental",0,233.302043626282
79,"health",204.332603294301,77.012299122516
80,"daily_living",610.07288591619,196.032271522558
80,"developmental",0,223.004668139906
80,"health",209.165616961913,73.7816677007554
81,"daily_living",632.25661884577,182.119729326234
81,"developmental",0,210.572262724107
81,"health",216.056542674505,69.7469401155445
82,"daily_living",650.869931400528,165.806300438721
82,"developmental",0,196.602926513845
82,"health",221.907290683806,65.1674468034517
83,"daily_living",669.538951587786,147.110160427816
83,"developmental",0,181.117223514895
83,"health",227.847110269409,60.0537071822766
84,"daily_living",691.042363718219,126.049484861317
84,"developmental",0,164.135717733033
