"age","care_focus","need_interval","provision_interval"
43,"daily_living",114.565353561975,171.410624179311
43,"health",68.9259045238997,185.207415576557
44,"developmental",0,474.783115299631
44,"daily_living",115.315600542336,172.52527988935
44,"health",61.2579560800634,193.12270293955
45,"developmental",0,451.23380888733
45,"daily_living",116.235179647269,173.230981168778
45,"health",55.6437489934673,197.447937770999
46,"developmental",0,428.711657603503
46,"daily_living",117.47514190379,173.458037284592
46,"health",52.8160499110757,196.547506689505
47,"developmental",0,406.443628726284
47,"daily_living",118.822050779971,173.43802929813
47,"health",51.1719953633151,194.124388657092
48,"developmental",0,387.266669421724
48,"daily_living",120.006423738654,172.973403502639
48,"health",50.9976895592198,188.723550551444
49,"developmental",0,372.579439087092
49,"daily_living",120.766514921251,171.712087659173
49,"health",53.4060163638257,176.892166926725
50,"developmental",0,360.48079423407
50,"daily_living",121.363200442041,169.913407412871
50,"health",57.6677131322519,160.893634310763
51,"developmental",0,348.857977700333
51,"daily_living",122.310930723169,168.296905883102
51,"health",61.3056643086576,147.847252541738
52,"developmental",0,335.884119368307
52,"daily_living",123.330987214694,166.527267791274
52,"health",64.2750241071235,138.959340583058
53,"developmental",0,325.010125150352
53,"daily_living",124.621797618093,164.909328827985
53,"health",67.2651796405856,131.571589834294
54,"developmental",0,317.806104375608
54,"daily_living",126.778344405834,163.783185548028
54,"health",68.9957778368611,127.117436623751
55,"developmental",0,312.535039150252
55,"daily_living",129.426104808185,162.817483098376
55,"health",70.085952767981,124.885330983284
56,"developmental",0,310.040145522412
56,"daily_living",132.340990761109,162.684813940457
56,"health",72.0091689427083,122.980151960643
57,"developmental",0,314.170221774991
57,"daily_living",135.568769659011,163.293862276804
57,"health",75.3374750394526,121.194653989031
58,"developmental",0,322.81799005067
58,"daily_living",139.14388516685,164.462542825142
58,"health",79.3814988173724,120.192505973144
59,"developmental",0,327.892552187246
59,"daily_living",142.825263626422,166.727293819678
59,"health",83.7225734063539,119.384958667963
60,"developmental",0,327.081451703155
60,"daily_living",146.452796562146,170.546101061699
60,"health",89.6492368032035,119.602152255086
61,"developmental",0,324.124410128797
61,"daily_living",150.206498338444,175.543193777122
61,"health",96.5581934781903,120.629957508712
62,"developmental",0,320.008796319912
62,"daily_living",154.355479557106,181.004375337098
62,"health",101.193026271395,120.313221072726
63,"developmental",0,310.312781806028
63,"daily_living",159.700613536477,188.09091015119
63,"health",103.494196584862,117.969935500427
64,"developmental",0,300.68977461303
64,"daily_living",165.09796679312,195.32405034397
64,"health",104.184381568109,114.980991101518
65,"developmental",0,299.045614447214
65,"daily_living",170.173618562347,201.579655263234
65,"health",101.086817456791,111.018137374793
66,"developmental",0,299.881943612524
66,"daily_living",175.358265832087,207.873213709736
66,"health",95.4590101706002,106.103626644502
67,"developmental",0,299.192689605715
67,"daily_living",179.210735630398,212.739954806584
67,"health",90.3692706968737,101.702406427313
68,"developmental",0,297.014364070804
68,"daily_living",171.154111161204,215.307857075733
68,"health",82.3431425549754,97.7815102248525
69,"developmental",0,294.735471190547
69,"daily_living",156.63483087404,216.530868246545
69,"health",71.9755880324487,93.842943590724
70,"developmental",0,290.377927269812
70,"daily_living",158.246754665375,217.683171253241
70,"health",68.4390462689017,90.6541121195658
71,"developmental",0,281.127631499219
71,"daily_living",182.489154545831,219.114536583777
71,"health",75.2208493000525,88.7570106847232
72,"developmental",0,268.913060482706
72,"daily_living",218.988820241262,220.236471457387
72,"health",87.6723969359035,87.6520083500876
73,"developmental",0,258.869996645125
73,"daily_living",265.030888220982,220.915763905203
73,"health",102.762229977489,86.5440719961165
74,"developmental",0,251.412258575866
74,"daily_living",341.082976909844,221.601278371808
74,"health",126.731467633306,85.4125627065999
75,"developmental",0,245.25916572301
75,"daily_living",419.578414597992,221.786321646108
75,"health",151.461952113168,84.3301477650442
76,"developmental",0,244.599989682712
76,"daily_living",476.771308115432,222.766347690572
76,"health",168.902937190298,83.7319354877023
77,"developmental",0,247.512246955246
77,"daily_living",531.859591392614,224.279212259226
77,"health",185.484682579478,83.6970247803964
78,"developmental",0,247.422338609681
78,"daily_living",574.492706347461,222.421969587031
78,"health",198.358322496049,83.0363277075139
79,"developmental",0,247.315260772526
79,"daily_living",594.227219210214,219.410615203342
79,"health",204.332603294301,82.8740165276126
80,"developmental",0,242.817286554435
80,"daily_living",610.07288591619,211.84023992025
80,"health",209.165616961913,81.2748512393845
81,"developmental",0,228.396059800631
81,"daily_living",632.25661884577,195.863367053914
81,"health",216.056542674505,76.4003361000979
82,"developmental",0,209.285463186593
82,"daily_living",650.869931400528,175.150638698823
82,"health",221.907290683806,69.9875118346376
83,"developmental",0,184.023171502988
83,"daily_living",669.538951587786,148.644930181545
83,"health",227.847110269409,61.6214768190175
