"activity_id","geo_level","provider_attention","provision_interval","population"
"appliance-tool-organization","state04","active",4129270.8547484,50808.0322312553
"appliance-tool-organization","state20","active",2775268.84668156,43380.9485860981
"appliance-tool-organization","state23","active",1152971.72206873,19249.9064856745
"appliance-tool-organization","state46","active",335174.26589497,2482.77233996274
"appliance-tool-organization","state28","active",6159161.18952927,46934.723137137
"appliance-tool-organization","state41","active",3707417.1460907,55131.2520821814
"appliance-tool-organization","state16","active",3239009.20841194,35021.7128974334
"appliance-tool-organization","state44","active",181717.734742471,2019.08594158301
"appliance-tool-organization","state49","active",2050180.80080363,28188.387000217
"appliance-tool-organization","state35","active",3790785.58822647,27171.6141583847
"appliance-tool-organization","state31","active",589495.497996423,33315.8633989578
"appliance-tool-organization","state15","active",2950973.28734958,24699.326775594
"appliance-tool-organization","state54","active",3003003.7626491,72722.8314395014
"appliance-tool-organization","state11","active",1507778.26416871,10145.6326646422
"appliance-tool-organization","state33","active",328013.765863726,5352.14384899069
"appliance-tool-organization","state50","active",1044074.53250788,5800.41406948822
"appliance-tool-organization","state02","active",899197.438645206,7469.52261679397
"appliance-tool-organization","state32","active",117986.684828121,2949.66712070301
"appliance-tool-organization","state56","active",37158.1126425781,7431.62252851562
"attending-children-s-events","state26","active",10873660.8106839,75302.6994311326
"attending-children-s-events","state21","active",7219026.8037934,70080.8263518844
"attending-children-s-events","state36","active",22935105.8569694,131975.582099251
"attending-children-s-events","state24","active",6857579.44102251,83843.5391899923
"attending-children-s-events","state53","active",8537960.76035685,85781.0086925556
"attending-children-s-events","state27","active",13910094.8148218,116487.718062584
"attending-children-s-events","state19","active",8784607.49133543,79287.0286948542
"attending-children-s-events","state48","active",50508863.2127241,496445.442472938
"attending-children-s-events","state15","active",1544329.35822727,9358.27430228
"attending-children-s-events","state20","active",9534999.0550184,65512.4913286608
"attending-children-s-events","state34","active",15155678.8478874,110163.700097852
"attending-children-s-events","state30","active",3786575.96355076,27179.4459613655
"attending-children-s-events","state47","active",7650741.24416765,60732.2955943611
"attending-children-s-events","state17","active",25373820.9940489,219581.428412511
"attending-children-s-events","state25","active",10383746.6874662,89424.5738549419
"attending-children-s-events","state13","active",10225690.4058925,89686.1362615595
"attending-children-s-events","state04","active",10945639.0033456,75982.6514203452
"attending-children-s-events","state37","active",8993057.04346375,101369.23657307
"attending-children-s-events","state01","active",7649252.77378901,57785.1476674559
"attending-children-s-events","state55","active",8490601.26462536,79995.4845288619
"attending-children-s-events","state38","active",2342201.91737533,16893.4938301079
"attending-children-s-events","state09","active",1895906.50438363,20111.0267206641
"attending-children-s-events","state06","active",38245838.5422267,335866.007649697
"attending-children-s-events","state28","active",3710245.52409439,34531.2845547847
"attending-children-s-events","state45","active",1117008.44572692,11534.8250732795
"attending-children-s-events","state41","active",10832962.3904692,68061.6880748394
"attending-children-s-events","state18","active",5932371.60894894,65936.0854569178
"attending-children-s-events","state42","active",14850589.0664909,141934.965608208
"attending-children-s-events","state51","active",16121262.3689007,110747.636904643
"attending-children-s-events","state12","active",19502019.7659289,175521.548009018
"attending-children-s-events","state49","active",3866010.68070299,52354.1013649984
"attending-children-s-events","state10","active",2351063.09535772,22800.7912555595
"attending-children-s-events","state39","active",25187719.7797215,207511.67555516
"attending-children-s-events","state31","active",1339094.23934524,16237.2361478652
"attending-children-s-events","state46","active",1022520.42906767,4821.99152074849
"attending-children-s-events","state08","active",6784946.44512513,46818.6505544499
"attending-children-s-events","state29","active",5166163.44250759,45663.1340417556
"attending-children-s-events","state05","active",2771706.61768448,33130.9801395255
"attending-children-s-events","state35","active",2649694.86992989,30441.2246887923
"attending-children-s-events","state32","active",1932509.70516059,21925.2453578038
"attending-children-s-events","state40","active",11042375.3313281,75158.5865746844
"attending-children-s-events","state54","active",585105.585231469,8452.95162988932
"attending-children-s-events","state16","active",3840621.42885378,23706.2772491107
"attending-children-s-events","state22","active",3259467.46047264,28554.2295640784
"attending-children-s-events","state33","active",1400622.97831363,12946.2569894904
"attending-children-s-events","state44","active",745455.858349907,8282.84287055452
"attending-children-s-events","state02","active",419380.840985688,8507.34955600493
"attending-children-s-events","state56","active",431710.191477764,7195.16985796274
"banking","state36","active",15199530.6965804,281868.899035902
"banking","state37","active",3078356.48763754,145037.771370141
"banking","state27","active",971310.969604471,95789.4609819704
"banking","state26","active",1701605.92738062,123735.720000525
"banking","state06","active",10792429.1570765,389938.185682276
"banking","state39","active",2261831.47458574,248473.834942711
"banking","state19","active",1383661.59584759,59121.7662583616
"banking","state48","active",5369342.83163958,297552.485088999
"banking","state46","active",7184.24893535178,2394.74964511726
"banking","state55","active",1436328.38641889,97004.8642193934
"banking","state25","active",1844196.01617308,132872.404019138
"banking","state40","active",1136957.22887427,65648.5493533923
"banking","state51","active",1765590.110799,120573.94288492
"banking","state05","active",832353.395360174,83371.1964272077
"banking","state12","active",4747977.80458604,218031.780677627
"banking","state08","active",3281201.93363737,114706.720414683
"banking","state21","active",920753.664770662,89459.4118590679
