"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2016-01-01,"state35",47532.1732673211,0.0322426309433653,498955.113562781,585
2016-01-01,"state36",332513.107642118,0.0236111527054132,3006880.32435884,620
2016-01-01,"state37",200043.144628124,0.0253634011577389,1720979.48362547,468
2016-01-01,"state38",25487.9184130663,0.0395786908393115,145728.747506498,260
2016-01-01,"state39",212719.956297022,0.0229291114136736,1730551.92382652,460
2016-01-01,"state40",108332.604297373,0.0372965262658426,1255849.22968293,725
2016-01-01,"state41",117269.961019545,0.0326418149921847,1021222.71159447,578
2016-01-01,"state42",204578.535515028,0.0179000233408839,1809322.60790139,495
2016-01-01,"state44",20602.0558478493,0.0226845826945704,159357.591080202,446
2016-01-01,"state45",127878.934412924,0.0353751640705654,1114034.48876208,427
2016-01-01,"state46",21074.4581283847,0.0302946971301158,193652.6195146,620
2016-01-01,"state47",148401.085050951,0.0286094257148414,1003070.97593332,465
2016-01-01,"state48",669671.647632693,0.0319899362975716,6490872.54208068,610
2016-01-01,"state49",117447.256464718,0.0467106749417518,1104251.49856506,564
2016-01-01,"state50",21845.9559241479,0.0435793707067359,236684.982150706,645
2016-01-01,"state51",146108.880675565,0.0202779361056662,1108294.99882281,410
2016-01-01,"state53",114256.183043609,0.0203599310060867,1155793.284616,620
2016-01-01,"state54",52985.5583316356,0.0325041182607557,602111.916335127,811
2016-01-01,"state55",83155.9101453951,0.0159755045110042,738624.406624346,460
2016-01-01,"state56",12033.2705541496,0.0296334183529757,109221.858322775,512
2017-01-01,"state01",121095.933174513,0.0300647104374648,1017083.18201762,504
2017-01-01,"state02",24815.0845775441,0.0500967606243533,117576.678703432,200
2017-01-01,"state04",120114.098080639,0.0249169667657722,1011539.83794021,485
2017-01-01,"state05",52857.2152032219,0.0216337478416173,493944.613608082,472
2017-01-01,"state06",647278.905917607,0.0241765570556554,5661502.06867703,490
2017-01-01,"state08",125355.706029842,0.0290539012408975,1126681.97276175,726
2017-01-01,"state09",50172.3643616214,0.0182642441981767,398010.451457627,453
2017-01-01,"state10",8764.86772744931,0.0134092925970207,134164.080399699,561
2017-01-01,"state11",11746.5641269715,0.0189137518286604,70365.4168579325,410
2017-01-01,"state12",402238.900960963,0.0279824637114457,3726035.79197773,610
2017-01-01,"state13",253049.076985335,0.0339828309959183,2092006.57250468,500
2017-01-01,"state15",9076.87817164274,0.0125607023693085,65122.3659950565,350
2017-01-01,"state16",30821.1989617085,0.022892131508579,274136.196877381,585
2017-01-01,"state17",343423.997710403,0.030816741640939,3169547.29119625,651
2017-01-01,"state18",135403.792071737,0.021594905741286,1166185.88171731,450
