"age","care_focus","need_interval","provision_interval","population"
69,"health",71.9755880324487,93.842943590724,3676891.86
70,"developmental",0,290.377927269812,3331069.98
70,"daily_living",158.246754665375,217.683171253241,3331069.98
70,"health",68.4390462689017,90.6541121195658,3331069.98
71,"developmental",0,281.127631499219,3239973.16
71,"daily_living",182.489154545831,219.114536583777,3239973.16
71,"health",75.2208493000525,88.7570106847232,3239973.16
72,"developmental",0,268.913060482706,3193441.76
72,"daily_living",218.988820241262,220.236471457387,3193441.76
72,"health",87.6723969359035,87.6520083500876,3193441.76
73,"developmental",0,258.869996645125,2961065.28
73,"daily_living",265.030888220982,220.915763905203,2961065.28
73,"health",102.762229977489,86.5440719961165,2961065.28
74,"developmental",0,251.412258575866,2912684.09
74,"daily_living",341.082976909844,221.601278371808,2912684.09
74,"health",126.731467633306,85.4125627065999,2912684.09
75,"developmental",0,245.25916572301,2741536.84
75,"daily_living",419.578414597992,221.786321646108,2741536.84
75,"health",151.461952113168,84.3301477650442,2741536.84
76,"developmental",0,244.599989682712,2570503.02
76,"daily_living",476.771308115432,222.766347690572,2570503.02
76,"health",168.902937190298,83.7319354877023,2570503.02
77,"developmental",0,247.512246955246,2571636.46
77,"daily_living",531.859591392614,224.279212259226,2571636.46
77,"health",185.484682579478,83.6970247803964,2571636.46
78,"developmental",0,247.422338609681,1840380.9
78,"daily_living",574.492706347461,222.421969587031,1840380.9
78,"health",198.358322496049,83.0363277075139,1840380.9
79,"developmental",0,247.315260772526,1725688.62
79,"daily_living",594.227219210214,219.410615203342,1725688.62
79,"health",204.332603294301,82.8740165276126,1725688.62
80,"developmental",0,242.817286554435,7128550.62
80,"daily_living",610.07288591619,211.84023992025,7128550.62
80,"health",209.165616961913,81.2748512393845,7128550.62
81,"developmental",0,228.396059800631,0
81,"daily_living",632.25661884577,195.863367053914,0
81,"health",216.056542674505,76.4003361000979,0
82,"developmental",0,209.285463186593,0
82,"daily_living",650.869931400528,175.150638698823,0
82,"health",221.907290683806,69.9875118346376,0
83,"developmental",0,184.023171502988,0
83,"daily_living",669.538951587786,148.644930181545,0
83,"health",227.847110269409,61.6214768190175,0
84,"developmental",0,151.531630718275,0
84,"daily_living",691.042363718219,115.542157749623,0
84,"health",234.738259650243,50.9812838109531,0
85,"developmental",0,112.560283329123,5848639.59
85,"daily_living",713.588244242744,76.3735257201902,5848639.59
85,"health",242.021528064512,38.2754687286147,5848639.59
