"date","geo_level","category_id","subcategory_id","formal_care_time","formal_care_time_proportion","care_flag","informal_care_time","informal_care_time_proportion"
1997-01-01,"state13","overall","overall",259604330.057143,0.225067255827686,NA,NA,NA
1997-01-01,"state15","overall","overall",52146926.3142857,0.31404689581153,NA,NA,NA
1997-01-01,"state16","overall","overall",38813846.6571429,0.217110519912718,NA,NA,NA
1997-01-01,"state17","overall","overall",370267736.485714,0.206878413064299,NA,NA,NA
1997-01-01,"state18","overall","overall",186741360.857143,0.206921209734874,NA,NA,NA
1997-01-01,"state19","overall","overall",121792300.542857,0.251279793318348,NA,NA,NA
1997-01-01,"state20","overall","overall",98765457.8571429,0.260635917409115,NA,NA,NA
1997-01-01,"state21","overall","overall",126460668.685714,0.245432863685279,NA,NA,NA
1997-01-01,"state22","overall","overall",134836949.314286,0.242612997909727,NA,NA,NA
1997-01-01,"state23","overall","overall",49199650.8857143,0.26062861724694,NA,NA,NA
1997-01-01,"state24","overall","overall",176477328.171429,0.21482141646045,NA,NA,NA
1997-01-01,"state25","overall","overall",217221400.628571,0.232317796961637,NA,NA,NA
1997-01-01,"state26","overall","overall",308379373.714286,0.218691557585731,NA,NA,NA
1997-01-01,"state27","overall","overall",185507732.828571,0.234823170377867,NA,NA,NA
1997-01-01,"state28","overall","overall",91394991.0857143,0.245835146152768,NA,NA,NA
1997-01-01,"state29","overall","overall",179420895.428571,0.227376505775268,NA,NA,NA
1997-01-01,"state30","overall","overall",33035456.6571429,0.27308028292396,NA,NA,NA
1997-01-01,"state31","overall","overall",62410933.7142857,0.217414908375444,NA,NA,NA
1997-01-01,"state32","overall","overall",63547803.7714286,0.250773774551318,NA,NA,NA
1997-01-01,"state33","overall","overall",38206040.3142857,0.188873566159585,NA,NA,NA
1997-01-01,"state34","overall","overall",245128207.8,0.198397649641877,NA,NA,NA
1997-01-01,"state35","overall","overall",56899335.0857143,0.255793807264909,NA,NA,NA
1997-01-01,"state36","overall","overall",664591622.314286,0.267506249936174,NA,NA,NA
1997-01-01,"state37","overall","overall",241284055.028571,0.202336927918165,NA,NA,NA
1997-01-01,"state38","overall","overall",23282534.3142857,0.252775986672175,NA,NA,NA
1997-01-01,"state39","overall","overall",410415381.685714,0.243351190685883,NA,NA,NA
1997-01-01,"state40","overall","overall",102749584.542857,0.243109312755655,NA,NA,NA
1997-01-01,"state41","overall","overall",105218790.6,0.220789298354011,NA,NA,NA
