"year","month","gender_parent","total_population","labor_force","lfpr"
1992,"March","Fathers",28044696.71,26073825.64,92.9723929968648
1992,"March","Mothers",35245553.73,23644316.24,67.084536169096
1992,"March","Non-Fathers",53767825.76,36198376.47,67.323489388573
1992,"March","Non-Mothers",52128396.53,27555529.05,52.860879835699
1992,"March","Other",23017038.97,11781605.91,51.1864533285795
1992,"May","Fathers",28406225.29,26715256.93,94.0471909141857
1992,"May","Mothers",35661519.91,24157341.85,67.7406400819892
1992,"May","Non-Fathers",53511939.69,36591739.69,68.3805145206464
1992,"May","Non-Mothers",51807586.23,27249084.77,52.5967078431865
1992,"May","Other",23115412.39,12171619.26,52.6558603179651
1992,"November","Fathers",28484377.81,26554899.97,93.2261892716413
1992,"November","Mothers",35501365.33,24176584.51,68.100435814985
1992,"November","Non-Fathers",54093144,36614009.09,67.6869680379458
1992,"November","Non-Mothers",52476482.69,27812503.02,52.9999374849488
1992,"November","Other",23065198.77,12007797.65,52.0602391929875
1992,"October","Fathers",28593832.95,26780559.52,93.6585156905311
1992,"October","Mothers",35527495.07,24177063.11,68.0516964744174
1992,"October","Non-Fathers",53893459.91,36605732.89,67.9224027389041
1992,"October","Non-Mothers",52264927.81,27417589.96,52.4588688989906
1992,"October","Other",23162215.15,12075008.89,52.1323578586999
1992,"September","Fathers",28570419.81,26779986.39,93.7332617724668
1992,"September","Mothers",35792455.93,24260577.3,67.7812591218856
1992,"September","Non-Fathers",53708945.91,36760197.77,68.4433424398219
1992,"September","Non-Mothers",51910722.47,27220133.48,52.4364373771352
1992,"September","Other",23246011.49,12248659.17,52.6914441871852
1993,"April","Fathers",29103711.23,27199025.3,93.4555221670951
1993,"April","Mothers",36043663.81,24145735.46,66.9902360295042
1993,"April","Non-Fathers",53999064.34,36192493.17,67.0242968324736
1993,"April","Non-Mothers",52269723.83,27319795.66,52.2669600261402
1993,"April","Other",22981535.61,11785881.01,51.2841317917484
1993,"August","Fathers",28495934.39,26759257.5,93.9055274825119
1993,"August","Mothers",35725833.45,23967738.3,67.0879752421843
1993,"August","Non-Fathers",54885300.65,37897550.46,69.048634171962
1993,"August","Non-Mothers",52821158.27,28288529,53.5552985328355
1993,"August","Other",23135061.9,12721749.53,54.989044701886
1993,"December","Fathers",28686482.67,26726899.46,93.1689666086205
1993,"December","Mothers",35855467.12,24626203.23,68.6818641842868
1993,"December","Non-Fathers",55106180.64,36884438.03,66.9333958580077
1993,"December","Non-Mothers",53339366.81,28353559.05,53.1569097004809
1993,"December","Other",22806655.11,11906161.61,52.2047689701745
1993,"February","Fathers",28573998.97,26500227.8,92.7424538225214
1993,"February","Mothers",35677107.49,24055076.61,67.4244026557995
1993,"February","Non-Fathers",54180723.16,36293529.03,66.9860550270293
1993,"February","Non-Mothers",52404396.87,27518637.94,52.5120783438567
1993,"February","Other",23271691.82,11806497.98,50.7333032394892
1993,"January","Fathers",28628971.64,26570801.53,92.8108835487323
1993,"January","Mothers",35660181.46,23948879.64,67.1586028435201
1993,"January","Non-Fathers",54226252.21,36192466.09,66.7434399667504
1993,"January","Non-Mothers",52492750.02,27502266.98,52.3925055736678
1993,"January","Other",22953841.31,11568466.67,50.3988265570178
1993,"July","Fathers",28542208.15,26792184.23,93.8686456534723
1993,"July","Mothers",35767857.55,23989876.72,67.0710474801698
1993,"July","Non-Fathers",54747950.79,38208475.68,69.7897823181703
1993,"July","Non-Mothers",52768187.58,28494105.02,53.9986426041279
1993,"July","Other",23056093.52,13092165.57,56.7839714852093
1993,"June","Fathers",29010457.26,27140706.52,93.5549077243328
1993,"June","Mothers",35975089.55,24245668,67.3957127092127
1993,"June","Non-Fathers",54246683.14,37676056.85,69.453199106691
1993,"June","Non-Mothers",52468612.12,28406458.87,54.1399090279577
1993,"June","Other",23018601.81,12664391.79,55.018075791633
1993,"March","Fathers",28860873.26,26800603.94,92.8613756713472
1993,"March","Mothers",35897604.12,24084313.72,67.0917023862929
1993,"March","Non-Fathers",54050979.4,36249365.3,67.0651405439658
1993,"March","Non-Mothers",52213994.21,27432390.18,52.5383866816804
1993,"March","Other",23224107.3,11904948.75,51.2611683894519
1993,"May","Fathers",29086377.6,27274400.95,93.7703598745827
1993,"May","Mothers",36075711.05,24308358.38,67.3815087007135
1993,"May","Non-Fathers",53944955.09,36541168.6,67.737879360611
1993,"May","Non-Mothers",52216930.5,27755634.76,53.1544740263888
1993,"May","Other",23224618.34,12279394.78,52.8723210871934
1993,"November","Fathers",28535410.47,26643583.04,93.3702463050639
1993,"November","Mothers",35700747.87,24479165.09,68.5676534820445
1993,"November","Non-Fathers",55086865.13,37198422.2,67.5268453055281
1993,"November","Non-Mothers",53254893.98,28544913.65,53.6005454460582
1993,"November","Other",23046653.43,12085952.79,52.4412484732713
1993,"October","Fathers",28461139.74,26796945.34,94.1527485715511
1993,"October","Mothers",35752795.26,24545122.78,68.6523182355505
1993,"October","Non-Fathers",55245630.94,37267101.71,67.4571021742412
1993,"October","Non-Mothers",53221823.36,28341482.1,53.2516180595583
1993,"October","Other",22762898.58,11867583.45,52.1356426040888
1993,"September","Fathers",28499519.3,26824444.04,94.1224438125874
1993,"September","Mothers",35596917.28,24280545.48,68.2096859371638
1993,"September","Non-Fathers",55042069.18,37266836.14,67.7060958920876
1993,"September","Non-Mothers",53214473.28,28006541.05,52.6295560657666
