"date","sex","race_ethnicity","empstat","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2022-01-01,"Male","White","Employed",1252298.19127872,0.00474910115021625,589880861.092828,386
2022-01-01,"Male","White","NILF",146133.288661283,0.000554182521462827,124229958.914661,867
2022-01-01,"Male","White","Unemployed",71691.8859954581,0.000271877752929233,36714442.8454215,657
2023-01-01,"Female","American Indian","Employed",29869.2843650553,0.000112240687686836,19044357.2828454,815
2023-01-01,"Female","American Indian","NILF",2469.66832459452,0.00000928034524440044,2383229.93323371,965
2023-01-01,"Female","Asian/Pacific Island","Employed",111003.744348382,0.000417122032426475,72001857.5218754,740
2023-01-01,"Female","Asian/Pacific Island","NILF",53625.2184117151,0.000201509059217012,44103441.8883277,846
2023-01-01,"Female","Asian/Pacific Island","Unemployed",6783.44496046192,0.0000254903504865621,5426755.96836953,800
2023-01-01,"Female","Black","Employed",353086.098704723,0.00132680200994855,184910098.230567,510
2023-01-01,"Female","Black","NILF",67484.7206485293,0.000253589318089139,48327949.9126787,882
2023-01-01,"Female","Black","Unemployed",11107.0373644411,0.0000417372407290329,10630533.8101735,1050
2023-01-01,"Female","Hispanic","Employed",479271.421291668,0.00180097230509341,278364422.247141,540
2023-01-01,"Female","Hispanic","NILF",257605.715514102,0.000968012567960592,192274469.505159,795
2023-01-01,"Female","Hispanic","Unemployed",9446.2526263074,0.0000354964611097525,6893236.14679186,1115
2023-01-01,"Female","Two or More Races","Employed",45787.1827271436,0.000172055842173101,26394691.4113071,586
2023-01-01,"Female","Two or More Races","NILF",9945.55082989863,0.00003737268864326,8354262.69711485,840
2023-01-01,"Female","Two or More Races","Unemployed",9683.66243012274,0.0000363885829067851,7911552.20541028,817
2023-01-01,"Female","White","Employed",1114593.76614403,0.00418834175183073,685535538.238828,625
2023-01-01,"Female","White","NILF",484032.933514459,0.00181886477950905,367331529.155376,765
2023-01-01,"Female","White","Unemployed",82787.2379368318,0.000311092037029007,51679411.0412569,692
2023-01-01,"Male","American Indian","Employed",5013.60916189973,0.0000188397864926084,4537316.29151925,905
2023-01-01,"Male","American Indian","NILF",9916.2736902674,0.000037262673075242,2379905.68566418,240
2023-01-01,"Male","Asian/Pacific Island","Employed",141955.991499863,0.00053343220120305,77563256.4245196,390
2023-01-01,"Male","Asian/Pacific Island","NILF",4744.12392292603,0.0000178271338902164,4343553.95497625,835
2023-01-01,"Male","Asian/Pacific Island","Unemployed",3990.23797627452,0.0000149942345125332,1328749.24609942,333
2023-01-01,"Male","Black","Employed",277588.880681538,0.00104310389499542,120797056.373366,345
2023-01-01,"Male","Black","NILF",40310.8362956855,0.000151477214243289,21120021.5459301,639
2023-01-01,"Male","Black","Unemployed",10128.0793824071,0.000038058581549352,8461151.94828414,859
2023-01-01,"Male","Hispanic","Employed",402614.98361438,0.00151291815637775,183430311.041728,390
2023-01-01,"Male","Hispanic","NILF",77177.9833417912,0.000290013976186865,45404728.3878432,680
2023-01-01,"Male","Hispanic","Unemployed",4856.32535815671,0.0000182487565208702,4225003.06159634,870
2023-01-01,"Male","Two or More Races","Employed",27382.4059589551,0.000102895671613375,16593951.895155,571
2023-01-01,"Male","Two or More Races","Unemployed",4077.02366577534,0.0000153203516485147,1284262.45471923,315
2023-01-01,"Male","White","Employed",1219035.19113582,0.00458080436395098,594341211.087768,430
2023-01-01,"Male","White","NILF",145893.799888507,0.00054822941951329,112160445.680828,845
2023-01-01,"Male","White","Unemployed",58081.7533787512,0.00021825551163573,26734342.2763705,539
